License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
17334,"Greenwood Avenue, 8406",8406 Greenwood Ave,Takoma Park,20912,139515,-77.001569189,38.994643481,04/06/2017,,2,0,4,1,1.00,2.00,0,0.00,0.00,at-risk,"(38.9946, -77.0016)"
17387,Round Hill Apartments,8584 Freyman Dr,Chevy Chase,20815,147569,-77.058964675,38.996363887,06/26/2018,,3,1,150,43,0.97,1.12,17,0.00,0.00,compliant,"(38.9964, -77.059)"
17477,North Park Apartments,4615 Park Ave N,Chevy Chase,20815,154223,-77.092411124,38.963673796,04/15/2019,,3,1,310,71,0.56,0.87,42,0.00,0.01,compliant,"(38.9637, -77.0924)"
75916,The Galaxy,8025 13Th St,Silver Spring,20910,154276,-77.028415539,38.986880678,04/19/2019,,2,1,195,49,0.32,2.12,0,0.00,0.02,at-risk,"(38.9869, -77.0284)"
17031,"Flower Avenue, 8515",8515 Flower Ave,Takoma Park,20912,152894,-77.002705719,38.996323848,03/15/2019,,1,1,5,4,1.25,1.65,1,0.25,0.25,troubled,"(38.9963, -77.0027)"
17292,Summit Hills,8484 16Th St,Silver Spring,20910,154210,-77.039517201,38.997031068,05/09/2019,,3,1,1120,279,1.75,1.45,87,0.01,0.00,compliant,"(38.997, -77.0395)"
81220,Falkland Chase Apartments South,8305 16Th St,Silver Spring,20910,146672,-77.036275061,38.992761727,04/13/2018,,3,1,147,38,0.50,0.73,20,0.00,0.00,compliant,"(38.9928, -77.0363)"
18223,"Garland Avenue, 8305",8305 Garland Ave,Takoma Park,20912,151002,-76.999996429,38.993385952,10/25/2018,,2,1,6,6,0.50,1.38,1,0.00,0.00,compliant,"(38.9934, -77.0)"
100467,The Point at Hampton Hollow,3400 HAMPTON HOLLOW DR,SILVER SPRING,20904,154232,-76.93954396,39.075416756,05/01/2019,,3,1,240,57,0.64,1.10,33,0.00,0.00,compliant,"(39.0754, -76.9395)"
17711,4701 Willard Apartments,4701 Willard Ave,Chevy Chase,20815,153872,-77.094446754,38.963155981,03/21/2019,,3,1,517,122,0.97,0.92,58,0.00,0.00,compliant,"(38.9632, -77.0944)"
108606,7770 Norfolk,7770 NORFOLK AVE,BETHESDA,20814,,-77.096379765,38.98822279,,,3,0,200,,,,,,,compliant,"(38.9882, -77.0964)"
17620,Naples Manor,1 Carona Ct,Silver Spring,20905,144915,-77.02247527,39.100918063,11/20/2017,,2,0,64,18,1.22,1.65,2,0.00,0.00,at-risk,"(39.1009, -77.0225)"
18024,"Flower Avenue, 8511",8511 Flower Ave,Takoma Park,20912,139550,-77.002600204,38.996090439,03/23/2017,,2,0,2,2,1.00,2.00,0,0.00,0.00,at-risk,"(38.9961, -77.0026)"
